"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 05, 2022","17,957.40","18,080.60","18,095.45","17,921.55","283.45M","-0.53%"
"Apr 04, 2022","18,053.40","17,809.10","18,114.65","17,791.40","345.53M","2.17%"
"Apr 01, 2022","17,670.45","17,436.90","17,703.70","17,422.70","291.77M","1.18%"
"Mar 31, 2022","17,464.75","17,519.20","17,559.80","17,435.20","281.11M","-0.19%"
"Mar 30, 2022","17,498.25","17,468.15","17,522.50","17,387.20","505.03M","1.00%"
"Mar 29, 2022","17,325.30","17,297.20","17,343.65","17,235.70","235.15M","0.60%"
"Mar 28, 2022","17,222.00","17,181.85","17,235.10","17,003.90","253.24M","0.40%"
"Mar 25, 2022","17,153.00","17,289.00","17,294.90","17,076.55","237.12M","-0.40%"
"Mar 24, 2022","17,222.75","17,094.95","17,291.75","17,091.15","290.28M","-0.13%"
"Mar 23, 2022","17,245.65","17,405.05","17,442.40","17,199.60","292.12M","-0.40%"
"Mar 22, 2022","17,315.50","17,120.40","17,334.40","17,006.30","338.26M","1.16%"
"Mar 21, 2022","17,117.60","17,329.50","17,353.35","17,096.40","285.45M","-0.98%"
"Mar 17, 2022","17,287.05","17,202.90","17,344.60","17,175.75","448.34M","1.84%"
"Mar 16, 2022","16,975.35","16,876.65","16,987.90","16,837.85","259.97M","1.87%"
"Mar 15, 2022","16,663.00","16,900.65","16,927.75","16,555.00","381.63M","-1.23%"
"Mar 14, 2022","16,871.30","16,633.70","16,887.95","16,606.50","314.67M","1.45%"
"Mar 11, 2022","16,630.45","16,528.80","16,694.40","16,470.90","343.72M","0.21%"
"Mar 10, 2022","16,594.90","16,757.10","16,757.30","16,447.90","486.44M","1.53%"
"Mar 09, 2022","16,345.35","16,078.00","16,418.05","15,990.00","462.23M","2.07%"
"Mar 08, 2022","16,013.45","15,747.75","16,028.75","15,671.45","543.60M","0.95%"
"Mar 07, 2022","15,863.15","15,867.95","15,944.60","15,711.45","585.40M","-2.35%"
"Mar 04, 2022","16,245.35","16,339.45","16,456.00","16,133.80","456.14M","-1.53%"
"Mar 03, 2022","16,498.05","16,723.20","16,768.95","16,442.95","442.07M","-0.65%"
"Mar 02, 2022","16,605.95","16,593.10","16,678.50","16,478.65","517.72M","-1.12%"
"Feb 28, 2022","16,793.90","16,481.60","16,815.90","16,356.30","404.22M","0.81%"
"Feb 25, 2022","16,658.40","16,515.65","16,748.80","16,478.30","329.78M","2.53%"
"Feb 24, 2022","16,247.95","16,548.90","16,705.25","16,203.25","457.97B","-4.78%"
"Feb 23, 2022","17,063.25","17,194.50","17,220.70","17,027.85","200.23B","-0.17%"
"Feb 22, 2022","17,092.20","16,847.95","17,148.55","16,843.80","300.13B","-0.67%"
"Feb 21, 2022","17,206.65","17,192.25","17,351.05","17,070.70","215.18B","-0.40%"
"Feb 18, 2022","17,276.30","17,236.05","17,380.80","17,219.20","189.62B","-0.16%"
"Feb 17, 2022","17,304.60","17,396.55","17,442.90","17,235.85","232.14B","-0.10%"
"Feb 16, 2022","17,322.20","17,408.45","17,490.60","17,257.70","244.55B","-0.17%"
"Feb 15, 2022","17,352.45","16,933.25","17,375.00","16,839.25","298.66B","3.03%"
"Feb 14, 2022","16,842.80","17,076.15","17,099.50","16,809.65","305.51B","-3.06%"
"Feb 11, 2022","17,374.75","17,451.00","17,454.75","17,303.00","253.14B","-1.31%"
"Feb 10, 2022","17,605.85","17,554.10","17,639.45","17,427.15","273.61B","0.81%"
"Feb 09, 2022","17,463.80","17,370.10","17,477.15","17,339.00","236.35B","1.14%"
"Feb 08, 2022","17,266.75","17,279.85","17,306.45","17,043.65","268.53B","0.31%"
"Feb 07, 2022","17,213.60","17,456.30","17,536.75","17,119.40","265.04B","-1.73%"
"Feb 04, 2022","17,516.30","17,590.20","17,617.80","17,462.55","261.43B","-0.25%"
"Feb 03, 2022","17,560.20","17,767.75","17,781.15","17,511.15","226.61B","-1.24%"
"Feb 02, 2022","17,780.00","17,706.20","17,794.60","17,674.80","271.21B","1.16%"
"Feb 01, 2022","17,576.85","17,529.45","17,622.40","17,244.55","386.39B","1.37%"
"Jan 31, 2022","17,339.85","17,301.05","17,410.00","17,264.15","321.66B","1.39%"
"Jan 28, 2022","17,101.95","17,208.30","17,373.50","17,077.10","355.28B","-0.05%"
"Jan 27, 2022","17,110.15","17,062.00","17,182.50","16,866.75","395.60B","-0.97%"
"Jan 25, 2022","17,277.95","17,001.55","17,309.15","16,836.80","326.52B","0.75%"
"Jan 24, 2022","17,149.10","17,575.15","17,599.40","16,997.85","323.85B","-2.66%"
"Jan 21, 2022","17,617.15","17,613.70","17,707.60","17,485.85","277.65B","-0.79%"
"Jan 20, 2022","17,757.00","17,921.00","17,943.70","17,648.45","258.09B","-1.01%"
"Jan 19, 2022","17,938.40","18,129.20","18,129.20","17,884.90","276.66B","-0.96%"
"Jan 18, 2022","18,113.05","18,337.20","18,350.95","18,085.90","227.51B","-1.07%"
"Jan 17, 2022","18,308.10","18,235.65","18,321.55","18,228.75","266.70B","0.29%"
"Jan 14, 2022","18,255.75","18,185.00","18,286.95","18,119.65","229.45B","-0.01%"
"Jan 13, 2022","18,257.80","18,257.00","18,272.25","18,163.80","303.70B","0.25%"
"Jan 12, 2022","18,212.35","18,170.40","18,227.95","18,128.80","244.97B","0.87%"
"Jan 11, 2022","18,055.75","17,997.75","18,081.25","17,964.40","220.24B","0.29%"
"Jan 10, 2022","18,003.30","17,913.30","18,017.45","17,879.15","232.42B","1.07%"
"Jan 07, 2022","17,812.70","17,797.60","17,905.00","17,704.55","239.34B","0.38%"
"Jan 06, 2022","17,745.90","17,768.50","17,797.95","17,655.55","236.45B","-1.00%"
"Jan 05, 2022","17,925.25","17,820.10","17,944.70","17,748.85","251.46B","0.67%"
"Jan 04, 2022","17,805.25","17,681.40","17,827.60","17,593.55","247.44B","1.02%"
"Jan 03, 2022","17,625.70","17,387.15","17,646.65","17,383.30","200.46B","1.57%"
"Dec 31, 2021","17,354.05","17,244.50","17,400.80","17,238.50","167.03B","0.87%"
"Dec 30, 2021","17,203.95","17,201.45","17,264.05","17,146.35","320.83B","-0.06%"
"Dec 29, 2021","17,213.60","17,220.10","17,285.95","17,176.65","161.68B","-0.11%"
"Dec 28, 2021","17,233.25","17,177.60","17,250.25","17,161.15","176.03B","0.86%"
"Dec 27, 2021","17,086.25","16,937.75","17,112.05","16,833.20","144.78B","0.49%"
"Dec 24, 2021","17,003.75","17,149.50","17,155.60","16,909.60","182.56B","-0.40%"
"Dec 23, 2021","17,072.60","17,066.80","17,118.65","17,015.55","196.97B","0.69%"
"Dec 22, 2021","16,955.45","16,865.55","16,971.00","16,819.50","207.95B","1.10%"
"Dec 21, 2021","16,770.85","16,773.15","16,936.40","16,688.25","241.03B","0.94%"
"Dec 20, 2021","16,614.20","16,824.25","16,840.10","16,410.20","330.61B","-2.18%"
"Dec 17, 2021","16,985.20","17,276.00","17,298.15","16,966.45","354.59B","-1.53%"
"Dec 16, 2021","17,248.40","17,373.00","17,379.35","17,184.95","219.50B","0.16%"
"Dec 15, 2021","17,221.40","17,323.65","17,351.20","17,192.20","214.97B","-0.60%"
"Dec 14, 2021","17,324.90","17,283.20","17,376.20","17,225.80","270.97B","-0.25%"
"Dec 13, 2021","17,368.25","17,619.10","17,639.50","17,355.95","256.56B","-0.82%"
"Dec 10, 2021","17,511.30","17,476.05","17,534.35","17,405.25","204.47B","-0.03%"
"Dec 09, 2021","17,516.85","17,524.40","17,543.25","17,379.60","237.17B","0.27%"
"Dec 08, 2021","17,469.75","17,315.25","17,484.60","17,308.95","257.79B","1.71%"
"Dec 07, 2021","17,176.70","17,044.10","17,251.65","16,987.75","254.14B","1.56%"
"Dec 06, 2021","16,912.25","17,209.05","17,216.75","16,891.70","231.72B","-1.65%"
"Dec 03, 2021","17,196.70","17,424.90","17,489.80","17,180.80","292.53B","-1.18%"
"Dec 02, 2021","17,401.65","17,183.20","17,420.35","17,149.30","279.87B","1.37%"
"Dec 01, 2021","17,166.90","17,104.40","17,213.05","17,064.25","295.54B","1.08%"
"Nov 30, 2021","16,983.20","17,051.15","17,324.65","16,931.40","498.00B","-0.41%"
"Nov 29, 2021","17,053.95","17,055.80","17,160.70","16,782.40","348.89B","0.16%"
"Nov 26, 2021","17,026.45","17,338.75","17,355.40","16,985.70","356.33B","-2.91%"
"Nov 25, 2021","17,536.25","17,417.30","17,564.35","17,351.70","255.95B","0.70%"
"Nov 24, 2021","17,415.05","17,550.05","17,600.60","17,354.00","298.05B","-0.50%"
"Nov 23, 2021","17,503.35","17,281.75","17,553.70","17,216.10","308.84B","0.50%"
"Nov 22, 2021","17,416.55","17,796.25","17,805.25","17,280.45","356.40B","-1.96%"
"Nov 18, 2021","17,764.80","17,890.55","17,945.60","17,688.50","278.43B","-0.75%"
"Nov 17, 2021","17,898.65","17,939.35","18,022.65","17,879.25","295.72B","-0.56%"
"Nov 16, 2021","17,999.20","18,127.05","18,132.65","17,958.80","267.43B","-0.61%"
"Nov 15, 2021","18,109.45","18,140.95","18,210.15","18,071.30","280.43B","0.04%"
"Nov 12, 2021","18,102.75","17,977.60","18,123.00","17,905.90","249.11B","1.28%"
"Nov 11, 2021","17,873.60","17,967.45","17,971.35","17,798.20","232.12B","-0.80%"
"Nov 10, 2021","18,017.20","17,973.45","18,061.25","17,915.00","261.45B","-0.15%"
"Nov 09, 2021","18,044.25","18,084.35","18,112.60","17,983.05","270.20B","-0.13%"
"Nov 08, 2021","18,068.55","18,040.20","18,087.80","17,836.10","338.92B","0.85%"
"Nov 04, 2021","17,916.80","17,935.05","17,947.55","17,900.60","48.52B","0.49%"
"Nov 03, 2021","17,829.20","17,947.95","17,988.75","17,757.95","331.00B","-0.33%"
"Nov 02, 2021","17,888.95","17,970.90","18,012.25","17,847.60","296.44B","-0.23%"
"Nov 01, 2021","17,929.65","17,783.15","17,954.10","17,697.10","281.19B","1.46%"
"Oct 29, 2021","17,671.65","17,833.05","17,915.85","17,613.10","336.47B","-1.04%"
"Oct 28, 2021","17,857.25","18,187.65","18,190.70","17,799.45","374.21B","-1.94%"
"Oct 27, 2021","18,210.95","18,295.85","18,342.05","18,167.90","335.25B","-0.31%"
"Oct 26, 2021","18,268.40","18,154.50","18,310.45","18,099.30","341.38B","0.79%"
"Oct 25, 2021","18,125.40","18,229.50","18,241.40","17,968.50","418.70B","0.06%"
"Oct 22, 2021","18,114.90","18,230.70","18,314.25","18,034.35","324.75B","-0.35%"
"Oct 21, 2021","18,178.10","18,382.70","18,384.20","18,048.00","365.90B","-0.48%"
"Oct 20, 2021","18,266.60","18,439.90","18,458.30","18,209.35","371.28B","-0.83%"
"Oct 19, 2021","18,418.75","18,602.35","18,604.45","18,377.70","368.23B","-0.32%"
"Oct 18, 2021","18,477.05","18,500.10","18,543.15","18,445.30","469.88B","0.76%"
"Oct 14, 2021","18,338.55","18,272.85","18,350.75","18,248.70","538.71B","0.97%"
"Oct 13, 2021","18,161.75","18,097.85","18,197.80","18,050.75","506.68B","0.94%"
"Oct 12, 2021","17,991.95","17,915.80","18,008.65","17,864.95","355.57B","0.26%"
"Oct 11, 2021","17,945.95","17,867.55","18,041.95","17,839.10","375.76B","0.28%"
