"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 05, 2022","452.78","455.18","457.82","452.68","31.21M","-0.88%"
"Apr 04, 2022","456.80","453.13","456.91","452.26","57.92M","0.86%"
"Apr 01, 2022","452.92","453.31","453.46","449.14","89.05M","0.28%"
"Mar 31, 2022","451.64","457.89","458.76","451.16","119.66M","-1.54%"
"Mar 30, 2022","458.70","460.34","461.20","456.46","79.01M","-0.62%"
"Mar 29, 2022","461.55","460.02","462.07","457.18","85.67M","1.24%"
"Mar 28, 2022","455.91","452.06","455.91","450.06","67.91M","0.71%"
"Mar 25, 2022","452.69","451.16","452.98","448.43","77.10M","0.49%"
"Mar 24, 2022","450.49","445.94","450.50","444.76","63.86M","1.51%"
"Mar 23, 2022","443.80","446.91","448.49","443.71","78.36M","-1.29%"
"Mar 22, 2022","449.59","445.86","450.58","445.86","73.78M","1.17%"
"Mar 21, 2022","444.39","444.34","446.46","440.68","88.35M","-0.03%"
"Mar 18, 2022","444.52","438.00","444.86","437.22","106.35M","0.78%"
"Mar 17, 2022","441.07","433.59","441.07","433.19","101.03M","1.25%"
"Mar 16, 2022","435.62","429.89","435.68","424.80","143.39M","2.22%"
"Mar 15, 2022","426.17","419.77","426.84","418.42","105.39M","2.20%"
"Mar 14, 2022","417.00","420.89","424.55","415.79","95.73M","-0.73%"
"Mar 11, 2022","420.07","428.12","428.77","419.53","95.64M","-1.27%"
"Mar 10, 2022","425.48","422.52","426.43","420.44","93.27M","-0.45%"
"Mar 09, 2022","427.41","425.14","429.51","422.82","115.71M","2.68%"
"Mar 08, 2022","416.25","419.62","427.21","415.12","163.43M","-0.76%"
"Mar 07, 2022","419.43","431.55","432.30","419.36","135.43M","-2.95%"
"Mar 04, 2022","432.17","431.75","433.37","427.88","114.08M","-0.81%"
"Mar 03, 2022","435.71","440.47","441.11","433.80","103.70M","-0.50%"
"Mar 02, 2022","437.89","432.37","439.72","431.57","116.86M","1.84%"
"Mar 01, 2022","429.98","435.04","437.17","427.11","136.29M","-1.52%"
"Feb 28, 2022","436.63","432.03","438.20","430.70","143.48M","-0.26%"
"Feb 25, 2022","437.75","429.61","437.84","427.86","121.80M","2.21%"
"Feb 24, 2022","428.30","411.02","428.76","410.64","209.08M","1.50%"
"Feb 23, 2022","421.95","432.66","433.26","421.35","129.09M","-1.77%"
"Feb 22, 2022","429.57","431.89","435.50","425.86","123.14M","-1.07%"
"Feb 18, 2022","434.23","437.33","438.66","431.82","132.64M","-0.65%"
"Feb 17, 2022","437.06","443.22","446.57","436.42","101.56M","-2.14%"
"Feb 16, 2022","446.60","443.93","448.05","441.94","84.23M","0.11%"
"Feb 15, 2022","446.10","443.73","446.28","443.18","86.16M","1.61%"
"Feb 14, 2022","439.02","439.92","441.60","435.34","121.25M","-0.33%"
"Feb 11, 2022","440.46","449.41","451.61","438.94","153.21M","-1.97%"
"Feb 10, 2022","449.32","451.34","457.71","447.20","136.50M","-1.80%"
"Feb 09, 2022","457.54","455.22","457.88","455.01","90.93M","1.46%"
"Feb 08, 2022","450.94","446.73","451.92","445.22","81.01M","0.82%"
"Feb 07, 2022","447.26","449.51","450.99","445.85","83.54M","-0.32%"
"Feb 04, 2022","448.70","446.35","452.78","443.83","118.45M","0.47%"
"Feb 03, 2022","446.60","450.95","452.97","445.71","113.49M","-2.35%"
"Feb 02, 2022","457.35","455.50","458.12","453.05","115.95M","0.97%"
"Feb 01, 2022","452.95","450.68","453.63","446.94","119.94M","0.68%"
"Jan 31, 2022","449.91","441.24","450.28","439.81","150.62M","1.80%"
"Jan 28, 2022","441.95","432.68","442.00","427.82","164.46M","2.48%"
"Jan 27, 2022","431.24","438.26","441.59","429.45","147.25M","-0.49%"
"Jan 26, 2022","433.38","440.72","444.04","428.86","185.02M","-0.25%"
"Jan 25, 2022","434.47","433.06","439.72","427.15","163.89M","-1.22%"
"Jan 24, 2022","439.84","432.03","440.38","420.76","250.45M","0.42%"
"Jan 21, 2022","437.98","445.56","448.06","437.95","202.27M","-1.96%"
"Jan 20, 2022","446.75","453.75","458.74","444.50","118.81M","-1.11%"
"Jan 19, 2022","451.75","458.13","459.61","451.46","107.00M","-1.04%"
