"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 05, 2022","1,949.12","1,967.36","1,967.68","1,942.78","1.19B","-0.23%"
"Apr 04, 2022","1,953.63","1,946.55","1,953.83","1,941.96","1.05B","0.48%"
"Apr 01, 2022","1,944.27","1,933.04","1,947.90","1,921.15","1.19B","-0.11%"
"Mar 31, 2022","1,946.40","1,952.96","1,970.22","1,946.40","1.34B","-1.08%"
"Mar 30, 2022","1,967.60","1,980.01","1,982.59","1,949.87","1.40B","-1.21%"
"Mar 29, 2022","1,991.66","1,985.39","1,991.66","1,978.44","136.24K","0.93%"
"Mar 28, 2022","1,973.37","1,982.29","1,982.29","1,962.23","1.11B","-0.41%"
"Mar 25, 2022","1,981.47","1,993.51","1,994.32","1,972.60","1.19B","-0.00%"
"Mar 24, 2022","1,981.56","1,958.21","1,981.56","1,952.45","1.24B","0.14%"
"Mar 23, 2022","1,978.70","1,956.38","1,980.91","1,955.83","1.41B","2.33%"
"Mar 22, 2022","1,933.74","1,922.93","1,936.95","1,922.64","1.53B","1.28%"
"Mar 18, 2022","1,909.27","1,896.98","1,911.61","1,896.98","1.81B","0.54%"
"Mar 17, 2022","1,899.01","1,880.32","1,902.97","1,879.73","1.47B","2.47%"
"Mar 16, 2022","1,853.25","1,841.19","1,858.34","1,839.66","1.34B","1.46%"
"Mar 15, 2022","1,826.63","1,811.51","1,834.17","1,810.92","1.22B","0.79%"
"Mar 14, 2022","1,812.28","1,812.43","1,826.81","1,811.43","1.19B","0.71%"
"Mar 11, 2022","1,799.54","1,811.26","1,814.60","1,788.58","1.42B","-1.67%"
"Mar 10, 2022","1,830.03","1,786.75","1,831.02","1,786.37","1.50B","4.04%"
"Mar 09, 2022","1,758.89","1,766.43","1,782.98","1,755.14","1.50B","-0.06%"
"Mar 08, 2022","1,759.86","1,777.44","1,792.27","1,756.44","1.87B","-1.90%"
"Mar 07, 2022","1,794.03","1,822.00","1,822.54","1,781.23","1.75B","-2.76%"
"Mar 04, 2022","1,844.94","1,871.96","1,872.80","1,836.26","1.53B","-1.96%"
"Mar 03, 2022","1,881.80","1,880.65","1,889.19","1,876.62","1.23B","1.18%"
"Mar 02, 2022","1,859.94","1,875.11","1,876.33","1,857.97","1.43B","-1.96%"
"Mar 01, 2022","1,897.17","1,903.34","1,911.17","1,896.20","1.25B","0.54%"
"Feb 28, 2022","1,886.93","1,877.38","1,889.57","1,868.98","1.45B","0.57%"
"Feb 25, 2022","1,876.24","1,865.42","1,878.92","1,862.24","1.34B","1.00%"
"Feb 24, 2022","1,857.58","1,870.56","1,878.51","1,843.38","1.59B","-1.25%"
"Feb 22, 2022","1,881.08","1,883.33","1,891.51","1,869.25","1.14B","-1.55%"
"Feb 21, 2022","1,910.68","1,901.21","1,914.70","1,889.06","938.59M","-0.71%"
"Feb 18, 2022","1,924.31","1,909.90","1,929.55","1,905.52","1.13B","-0.36%"
"Feb 17, 2022","1,931.24","1,944.27","1,945.32","1,920.87","1.18B","-0.79%"
"Feb 16, 2022","1,946.63","1,941.68","1,948.19","1,938.32","1.16B","1.67%"
"Feb 15, 2022","1,914.70","1,933.76","1,934.18","1,906.57","1.34B","-0.83%"
"Feb 14, 2022","1,930.65","1,938.03","1,940.63","1,914.34","1.38B","-1.63%"
"Feb 10, 2022","1,962.61","1,963.76","1,969.73","1,949.80","1.40B","0.53%"
"Feb 09, 2022","1,952.22","1,946.50","1,957.74","1,941.50","1.50B","0.94%"
"Feb 08, 2022","1,934.06","1,931.50","1,942.28","1,930.80","1.29B","0.42%"
"Feb 07, 2022","1,925.99","1,925.21","1,928.42","1,911.27","1.30B","-0.24%"
"Feb 04, 2022","1,930.56","1,916.26","1,932.45","1,907.19","1.36B","0.55%"
"Feb 03, 2022","1,919.92","1,925.27","1,929.19","1,917.31","1.29B","-0.86%"
"Feb 02, 2022","1,936.56","1,909.43","1,937.21","1,908.22","137.46K","2.14%"
"Feb 01, 2022","1,896.06","1,907.08","1,920.07","1,892.64","1.37B","0.01%"
"Jan 31, 2022","1,895.93","1,872.88","1,900.93","1,862.31","131.46K","1.01%"
"Jan 28, 2022","1,876.89","1,862.78","1,880.00","1,852.22","1.33B","1.87%"
"Jan 27, 2022","1,842.44","1,902.24","1,906.22","1,835.26","1.55B","-2.61%"
"Jan 26, 2022","1,891.85","1,900.37","1,905.95","1,885.68","1.03B","-0.25%"
"Jan 25, 2022","1,896.62","1,919.53","1,920.38","1,881.89","1.32B","-1.72%"
"Jan 24, 2022","1,929.87","1,911.24","1,933.43","1,903.75","1.08B","0.14%"
"Jan 21, 2022","1,927.18","1,917.16","1,930.66","1,899.88","1.24B","-0.59%"
"Jan 20, 2022","1,938.53","1,916.58","1,945.60","1,908.07","1.28B","0.98%"
"Jan 19, 2022","1,919.72","1,954.10","1,958.20","1,913.47","1.51B","-2.97%"
"Jan 18, 2022","1,978.38","1,995.29","2,003.69","1,969.70","1.23B","-0.42%"
"Jan 17, 2022","1,986.71","1,987.32","2,000.16","1,983.71","995.87M","0.46%"
"Jan 14, 2022","1,977.66","1,992.88","1,993.62","1,962.03","1.41B","-1.39%"
"Jan 13, 2022","2,005.58","2,014.02","2,014.35","2,004.90","1.16B","-0.68%"
"Jan 12, 2022","2,019.36","1,999.82","2,021.09","1,998.52","1.20B","1.64%"
"Jan 11, 2022","1,986.82","1,993.61","1,996.05","1,972.13","1.25B","-0.44%"
"Jan 07, 2022","1,995.68","2,009.30","2,017.10","1,981.52","1.29B","-0.07%"
"Jan 06, 2022","1,997.01","2,028.22","2,030.63","1,997.01","1.21B","-2.07%"
"Jan 05, 2022","2,039.27","2,038.79","2,042.00","2,033.28","1.26B","0.45%"
"Jan 04, 2022","2,030.22","2,015.61","2,031.65","2,005.45","1.11B","1.90%"
"Dec 30, 2021","1,992.33","1,991.58","2,000.77","1,980.19","729.84M","-0.33%"
"Dec 29, 2021","1,998.99","2,001.14","2,008.24","1,991.63","852.58M","-0.30%"
"Dec 28, 2021","2,005.02","1,995.13","2,005.05","1,991.33","952.49M","1.37%"
"Dec 27, 2021","1,977.90","1,986.64","1,988.35","1,976.38","777.48M","-0.45%"
"Dec 24, 2021","1,986.78","1,993.29","1,996.20","1,985.15","746.72M","-0.13%"
"Dec 23, 2021","1,989.43","1,980.88","1,989.43","1,978.13","813.50M","0.91%"
"Dec 22, 2021","1,971.51","1,976.82","1,979.55","1,966.43","874.92M","0.09%"
"Dec 21, 2021","1,969.79","1,965.40","1,976.75","1,957.00","101.57K","1.47%"
"Dec 20, 2021","1,941.33","1,967.28","1,970.26","1,940.27","1.14B","-2.17%"
"Dec 17, 2021","1,984.47","2,004.13","2,009.45","1,980.21","1.44B","-1.42%"
"Dec 16, 2021","2,013.08","2,006.55","2,014.43","1,999.73","1.05B","1.46%"
"Dec 15, 2021","1,984.10","1,971.25","1,988.74","1,971.25","990.23M","0.52%"
"Dec 14, 2021","1,973.81","1,976.67","1,985.19","1,966.85","98.59K","-0.22%"
"Dec 13, 2021","1,978.13","1,991.47","1,993.44","1,976.82","955.79M","0.13%"
"Dec 10, 2021","1,975.48","1,986.57","1,993.27","1,973.06","1.11B","-0.77%"
"Dec 09, 2021","1,990.79","2,001.06","2,005.53","1,990.79","984.72M","-0.57%"
"Dec 08, 2021","2,002.24","2,006.18","2,008.64","1,994.51","1.22B","0.62%"
"Dec 07, 2021","1,989.85","1,962.09","1,995.22","1,952.63","1.29B","2.17%"
"Dec 06, 2021","1,947.54","1,961.38","1,963.24","1,941.89","1.09B","-0.53%"
"Dec 03, 2021","1,957.86","1,935.00","1,957.86","1,927.36","1.23B","1.63%"
"Dec 02, 2021","1,926.37","1,924.34","1,939.91","1,921.44","1.35B","-0.54%"
"Dec 01, 2021","1,936.74","1,930.88","1,946.01","1,914.93","1.44B","0.44%"
"Nov 30, 2021","1,928.35","1,969.75","1,978.44","1,928.35","2.55B","-1.03%"
"Nov 29, 2021","1,948.48","1,954.99","1,978.82","1,944.95","1.53B","-1.84%"
"Nov 26, 2021","1,984.98","2,015.55","2,015.77","1,976.72","1.30B","-2.01%"
"Nov 25, 2021","2,025.69","2,027.13","2,031.96","2,024.79","959.84M","0.33%"
"Nov 24, 2021","2,019.12","2,039.46","2,047.62","2,015.23","1.22B","-1.16%"
"Nov 22, 2021","2,042.82","2,036.28","2,044.99","2,029.69","1.07B","-0.08%"
"Nov 19, 2021","2,044.53","2,034.87","2,046.12","2,033.49","1.20B","0.44%"
"Nov 18, 2021","2,035.52","2,032.97","2,044.82","2,024.38","1.22B","-0.14%"
