"","Date","Price","Open","High","Low","Vol.","Change..","date","new_cases","new_deaths","location","new_vaccinations","new_tests","population","population_density","Price_mul30"
"264","Feb 22, 2021",6780.9,"6,793.80","6,824.80","6,774.30","653.24M","-0.19%",2021-02-22,7,0,"Australia",2769,36501,25788217,3.202,203427
"263","Feb 23, 2021",6839.2,"6,780.90","6,839.20","6,765.30","806.33M","0.86%",2021-02-23,2,0,"Australia",4125,43521,25788217,3.202,205176
"262","Feb 24, 2021",6777.8,"6,839.20","6,839.20","6,762.60","677.31M","-0.90%",2021-02-24,8,0,"Australia",9715,56776,25788217,3.202,203334
"261","Feb 25, 2021",6834,"6,777.80","6,857.30","6,777.80","806.72M","0.83%",2021-02-25,10,0,"Australia",6881,49940,25788217,3.202,205020
"260","Feb 26, 2021",6673.3,"6,834.00","6,834.00","6,658.90","1.03B","-2.35%",2021-02-26,8,0,"Australia",6490,47899,25788217,3.202,200199
"259","Mar 01, 2021",6789.6,"6,673.30","6,790.10","6,672.20","734.33M","1.74%",2021-03-01,8,0,"Australia",7277,24226,25788217,3.202,203688
"258","Mar 02, 2021",6762.3,"6,789.60","6,860.70","6,762.30","739.31M","-0.40%",2021-03-02,10,0,"Australia",9163,39974,25788217,3.202,202869
"257","Mar 03, 2021",6818,"6,762.30","6,818.80","6,762.30","591.22M","0.82%",2021-03-03,11,0,"Australia",9939,52921,25788217,3.202,204540
"256","Mar 04, 2021",6760.7,"6,818.00","6,818.00","6,709.00","737.49M","-0.84%",2021-03-04,14,0,"Australia",10858,49049,25788217,3.202,202821
"255","Mar 05, 2021",6710.8,"6,760.70","6,760.70","6,660.50","702.40M","-0.74%",2021-03-05,8,0,"Australia",5073,47635,25788217,3.202,201324
"254","Mar 08, 2021",6739.6,"6,710.80","6,835.60","6,710.80","609.64M","0.43%",2021-03-08,15,0,"Australia",8539,35146,25788217,3.202,202188
"253","Mar 09, 2021",6771.2,"6,739.60","6,810.00","6,739.60","733.62M","0.47%",2021-03-09,13,0,"Australia",13420,27603,25788217,3.202,203136
"252","Mar 10, 2021",6714.1,"6,771.20","6,806.50","6,714.10","619.77M","-0.84%",2021-03-10,16,0,"Australia",16672,47309,25788217,3.202,201423
"251","Mar 11, 2021",6713.9,"6,714.10","6,756.70","6,648.60","665.89M","-0.00%",2021-03-11,12,0,"Australia",10109,51011,25788217,3.202,201417
"250","Mar 12, 2021",6766.8,"6,713.90","6,783.00","6,713.90","468.30M","0.79%",2021-03-12,10,0,"Australia",24185,45015,25788217,3.202,203004
"249","Mar 15, 2021",6773,"6,766.80","6,793.50","6,727.50","484.55M","0.09%",2021-03-15,7,0,"Australia",17656,32312,25788217,3.202,203190
"248","Mar 16, 2021",6827.1,"6,773.00","6,858.90","6,767.80","587.15M","0.80%",2021-03-16,17,0,"Australia",21120,33843,25788217,3.202,204813
