"","Date","Price","Open","High","Low","Vol.","Change","iso_code","continent","location","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million","Year_category"
"1",2022-03-01,451.64,457.89,458.76,451.16,"119.66M",-1.54,"USA","North America","United States",79098153,46671,62564,953099,1764,1849.571,237592.585,140.189,187.928,2862.889,5.299,5.556,0.61,7330,22.018,36224,108.809,NA,NA,32119,96.478,824135442,1261735,2475.513,3.79,989648,2.973,0.037,27,"tests performed",555603468,254124928,216301048,95399643,261363,277486,167.35,76.54,65.15,28.73,836,72807,0.022,53.24,332915074,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,NA,NA,NA,NA,"3rd year (ongoing)"
"2",2022-02-09,461.55,460.02,462.07,457.18,"85.67M",1.24,"USA","North America","United States",77298950,188591,221380.714,914399,3430,2478.429,232188.195,566.484,664.977,2746.643,10.303,7.445,0.55,17719,53.224,90123,270.709,NA,NA,82447,247.652,802678606,1553880,2411.061,4.667,1320475,3.966,0.114,8.8,"tests performed",548983249,252398838,214474876,92422287,497609,461936,165.35,76.02,64.6,27.84,1391,119594,0.036,58.8,332915074,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,NA,NA,NA,NA,"3rd year (ongoing)"
"3",2022-02-08,455.91,452.06,455.91,450.06,"67.91M",0.71,"USA","North America","United States",77110359,214448,241497.143,910969,2989,2498,231621.711,644.152,725.402,2736.34,8.978,7.503,0.57,18351,55.122,93609,281.18,NA,NA,86363,259.415,801124726,1638749,2406.394,4.922,1367305,4.107,0.122,8.2,"tests performed",548485640,252267807,214332439,92201653,488088,470054,165.2,75.98,64.56,27.77,1416,121536,0.037,58.8,332915074,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,NA,NA,NA,NA,"3rd year (ongoing)"
"4",2022-02-05,452.69,451.16,452.98,448.43,"77.10M",0.49,"USA","North America","United States",76466510,86815,301668,904445,867,2487,229687.737,260.772,906.141,2716.744,2.604,7.47,0.6,19642,59,101694,305.465,NA,NA,97289,292.234,797616267,1113522,2395.855,3.345,1401301,4.209,0.144,6.9,"tests performed",547320230,251954345,214000888,91689703,428203,513175,164.85,75.89,64.46,27.62,1546,131615,0.04,58.8,332915074,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,NA,NA,NA,NA,"3rd year (ongoing)"
"5",2022-02-04,450.49,445.94,450.5,444.76,"63.86M",1.51,"USA","North America","United States",76379695,355323,314899.571,903578,4112,2528.286,229426.965,1067.308,945.886,2714.14,12.351,7.594,0.61,20576,61.806,107685,323.461,NA,NA,101801,305.787,796502745,1474913,2392.51,4.43,1413603,4.246,0.152,6.6,"tests performed",546892027,251844930,213870447,91503487,638719,517900,164.72,75.85,64.42,27.56,1560,133522,0.04,58.8,332915074,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,NA,NA,NA,NA,"3rd year (ongoing)"
"6",2022-02-03,443.8,446.91,448.49,443.71,"78.36M",-1.29,"USA","North America","United States",76024372,275087,351919.571,899466,2416,2525.286,228359.657,826.298,1057.085,2701.788,7.257,7.585,0.61,21333,64.079,112670,338.435,NA,NA,107003,321.412,795027832,1592549,2388.08,4.784,1466644,4.405,0.163,6.1,"tests performed",546253308,251690621,213689318,91203591,503612,559761,164.53,75.81,64.36,27.47,1686,144511,0.044,58.8,332915074,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,NA,NA,NA,NA,"3rd year (ongoing)"
"7",2022-02-02,449.59,445.86,450.58,445.86,"73.78M",1.17,"USA","North America","United States",75749285,329406,384945,897050,3567,2542.571,227533.359,989.46,1156.286,2694.531,10.714,7.637,0.61,21913,65.822,117188,352.006,NA,NA,111225,334.094,793435283,1881694,2383.296,5.652,1524687,4.58,0.172,5.8,"tests performed",545749696,251561680,213551924,90968661,554434,597664,164.38,75.77,64.32,27.4,1800,154635,0.047,58.8,332915074,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,NA,NA,NA,NA,"3rd year (ongoing)"
"8",2022-02-01,444.39,444.34,446.46,440.68,"88.35M",-0.03,"USA","North America","United States",75419879,325948,427057.571,893483,3332,2577.429,226543.899,979.073,1282.782,2683.817,10.009,7.742,0.63,22670,68.095,120532,362.05,NA,NA,115569,347.143,791553589,1764272,2377.644,5.299,1547353,4.648,0.185,5.4,"tests performed",545195262,251417056,213400497,90712085,592346,628700,164.21,75.73,64.28,27.32,1894,162847,0.049,58.8,332915074,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,NA,NA,NA,NA,"3rd year (ongoing)"
"9",2022-01-08,444.52,438,444.86,437.22,"106.35M",0.78,"USA","North America","United States",59930215,397829,700897.286,840205,807,1706.857,180016.526,1194.986,2105.334,2523.782,2.424,5.127,1.42,23150,69.537,133605,401.319,NA,NA,138345,415.556,743888065,2154711,2234.468,6.472,2523660,7.58,0.294,3.4,"tests performed",525437880,246147318,209866975,79763372,1029854,1228255,158.26,74.14,63.21,24.02,3699,325892,0.098,50.46,332915074,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,NA,NA,NA,NA,"3rd year (ongoing)"
"10",2022-01-07,441.07,433.59,441.07,433.19,"101.03M",1.25,"USA","North America","United States",59532386,869717,671063.857,839398,2396,1647,178821.539,2612.429,2015.721,2521.358,7.197,4.947,1.46,22862,68.672,131875,396.122,NA,NA,132844,399.033,741733354,2849979,2227.996,8.561,2392778,7.187,0.295,3.4,"tests performed",524408026,245872085,209693623,79180275,1609071,1095490,157.95,74.06,63.16,23.85,3300,291278,0.088,50.46,332915074,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,NA,NA,NA,NA,"3rd year (ongoing)"
